sensor1,sensor2,sensor3,kneesensor
11,18,562,767
5,11,464,748
7,11,285,687
7,11,288,680
7,11,292,704
8,12,301,740
7,11,319,770
6,5,0,789
5,5,0,781
5,5,0,780
3,3,0,806
4,4,0,811
5,5,1,808
7,15,643,778
10,18,518,701
7,13,434,612
7,13,391,610
9,14,400,702
10,16,413,782
9,15,432,771
7,7,0,711
6,6,0,671
8,8,0,636
10,10,0,630
8,21,1023,639
4,16,907,626
18,31,811,587
11,22,688,554
10,20,602,621
10,19,620,739
9,18,593,775
9,19,585,759
8,8,0,715
6,6,0,659
0,0,0,629
6,5,0,634
2,2,0,655
0,0,267,662
13,15,158,601
8,12,238,546
0,6,417,603
0,0,403,732
0,5,371,787
3,4,0,727
4,4,0,687
5,5,0,690
8,8,0,683
6,15,628,680
0,11,1023,687
0,10,716,684
7,17,622,628
0,9,564,617
5,13,516,635
4,11,486,663
0,6,460,688
3,9,434,703
6,12,421,720
2,1,0,723
3,3,0,714
6,6,0,698
5,4,0,708
6,18,834,716
3,13,729,710
14,22,550,631
10,18,479,573
7,15,475,620
9,15,454,714
6,12,429,767
8,15,428,760
4,4,0,673
8,8,0,618
7,7,12,602
5,5,9,628
6,11,339,661
9,12,190,648
9,85,190,556
10,190,892,593
10,22,775,713
9,20,684,825
9,8,0,826
13,13,20,794
5,5,0,786
5,4,27,741
7,7,0,722
5,5,17,698
12,11,118,626
9,24,934,571
7,21,850,620
8,21,779,753
6,18,706,824
10,10,0,758
6,6,0,722
5,5,0,713
6,6,2,733
7,7,20,729
10,11,101,667
12,248,940,561
12,238,909,599
11,74,883,744
8,21,759,830
11,11,28,766
6,6,0,755
5,5,0,751
9,9,6,765
1,3,216,717
5,48,120,646
9,213,741,537
9,213,745,583
9,22,768,723
8,19,666,820
12,12,0,734
5,5,3,726
7,6,0,708
6,8,190,696
8,23,981,684
11,136,563,619
10,212,722,500
7,200,710,537
7,141,753,677
6,16,564,796
6,6,0,697
5,5,0,686
5,4,0,658
1,14,980,649
0,0,92,646
9,62,113,555
5,91,115,451
4,97,138,524
4,8,285,705
2,1,0,767
3,3,0,658
3,3,0,660
3,3,0,652
0,0,159,663
0,0,110,651
5,26,106,588
9,275,1023,513
7,232,865,572
7,20,821,734
6,18,747,806
5,5,0,747
3,3,0,716
3,3,1,683
0,0,0,681
0,4,647,674
6,128,637,574
8,252,1015,485
7,19,722,477
7,19,742,607
7,18,693,719
2,2,0,660
3,3,0,659
5,5,0,678
3,12,579,669
0,8,699,665
3,17,906,652
10,22,737,575
8,194,759,574
9,23,789,671
9,21,725,776
8,20,677,811
5,5,0,762
5,4,0,698
7,8,0,648
4,5,123,631
1,3,119,656
9,42,117,645
11,293,1023,543
11,241,947,586
14,180,935,718
10,23,771,826
7,7,0,794
5,5,0,740
5,5,0,723
4,4,0,743
1,16,977,730
6,18,710,710
11,246,998,605
9,187,633,559
8,20,666,629
9,21,705,786
